"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2021","1.0001","0.9996","1.0008","0.9952","1.48B","0.05%"
"04/11/2021","1.0001","1.0002","1.0018","0.9981","2.12B","0.00%"
"04/18/2021","1.0018","0.9994","1.0033","0.9975","2.75B","0.17%"
"04/25/2021","1.0002","1.0023","1.0025","0.9985","1.53B","-0.15%"
"05/02/2021","1.0009","1.0004","1.0017","0.9997","2.12B","0.07%"
"05/09/2021","1.0010","1.0009","1.0030","0.9992","2.95B","0.01%"
"05/16/2021","1.0021","1.0010","1.0057","0.9986","4.10B","0.11%"
"05/23/2021","1.0000","1.0021","1.0045","0.9995","2.50B","-0.22%"
"05/30/2021","1.0005","1.0000","1.0008","0.9980","1.67B","0.05%"
"06/06/2021","1.0003","1.0005","1.0015","0.9989","1.51B","-0.01%"
"06/13/2021","1.0013","1.0003","1.0017","0.9994","1.26B","0.09%"
"06/20/2021","1.0012","1.0013","1.0035","0.9978","3.35B","0.00%"
"06/27/2021","1.0003","1.0012","1.0041","0.9998","1.58B","-0.09%"
"07/04/2021","0.9999","1.0003","1.0008","0.9987","2.12B","-0.04%"
"07/11/2021","1.0007","0.9999","1.0015","0.9995","958.56M","0.09%"
"07/18/2021","1.0009","1.0007","1.0013","0.9993","1.47B","0.02%"
"07/25/2021","1.0002","1.0013","1.0014","0.9999","1.06B","-0.07%"
"08/01/2021","1.0002","0.9997","1.0009","0.9996","1.56B","0.00%"
"08/08/2021","1.0005","1.0002","1.0008","0.9995","2.28B","0.04%"
"08/15/2021","1.0006","1.0005","1.0009","0.9999","1.52B","0.01%"
"08/22/2021","1.0006","1.0006","1.0008","0.9999","1.42B","0.00%"
"08/29/2021","1.0003","1.0006","1.0009","1.0001","1.29B","-0.03%"
"09/05/2021","1.0003","1.0003","1.0011","1.0000","1.79B","-0.01%"
"09/12/2021","1.0002","1.0003","1.0007","1.0000","1.15B","0.00%"
"09/19/2021","1.0013","1.0002","1.0018","0.9999","1.62B","0.10%"
"09/26/2021","1.0004","1.0013","1.0024","0.9998","1.15B","-0.09%"
"10/03/2021","1.0003","1.0004","1.0006","1.0000","1.19B","-0.01%"
"10/10/2021","1.0000","1.0003","1.0005","0.9996","1.21B","-0.03%"
"10/17/2021","1.0000","1.0000","1.0006","0.9994","1.83B","0.00%"
"10/24/2021","1.0004","1.0000","1.0009","0.9996","1.68B","0.04%"
"10/31/2021","1.0007","1.0004","1.0011","1.0000","1.40B","0.03%"
"11/07/2021","1.0001","1.0007","1.0011","0.9992","2.01B","-0.07%"
"11/14/2021","1.0008","1.0001","1.0013","0.9997","1.93B","0.07%"
"11/21/2021","1.0009","1.0008","1.0014","0.9998","1.49B","0.00%"
"11/28/2021","1.0012","1.0009","1.0021","1.0002","1.61B","0.03%"
"12/05/2021","1.0007","1.0012","1.0017","1.0003","1.59B","-0.05%"
"12/12/2021","1.0005","1.0008","1.0016","1.0001","1.38B","-0.02%"
"12/19/2021","1.0006","1.0005","1.0013","1.0001","1.09B","0.01%"
"12/26/2021","1.0002","1.0006","1.0007","0.9996","1.37B","-0.04%"
"01/02/2022","1.0001","1.0002","1.0003","0.9997","1.06B","-0.01%"
"01/09/2022","1.0003","1.0001","1.0006","0.9999","987.43M","0.02%"
"01/16/2022","1.0004","1.0003","1.0009","1.0000","1.13B","0.01%"
"01/23/2022","1.0004","1.0004","1.0011","1.0002","1.26B","0.00%"
"01/30/2022","1.0007","1.0003","1.0009","1.0003","756.36M","0.03%"
"02/06/2022","1.0006","1.0007","1.0011","1.0005","903.27M","-0.01%"
"02/13/2022","1.0005","1.0006","1.0010","1.0003","814.26M","-0.01%"
"02/20/2022","1.0007","1.0005","1.0030","1.0005","1.44B","0.02%"
"02/27/2022","1.0003","1.0007","1.0011","1.0000","1.26B","-0.04%"
"03/06/2022","1.0002","1.0003","1.0011","1.0001","1.18B","-0.01%"
